longitude,latitude,junction_type,num_roads,connected_road_indices
103.830847,1.30386,X Shape,4,"[59, 285, 2395, 2396]"
103.834836,1.300409,X Shape,4,"[60, 92, 1567, 1700]"
103.830495,1.303262,T Shape,3,"[61, 707, 2396]"
103.841347,1.295474,X Shape,4,"[62, 1189, 3158, 3544]"
103.841188,1.295659,T Shape,3,"[62, 692, 2612]"
103.842845,1.291633,T Shape,3,"[63, 177, 4057]"
103.842213,1.291972,X Shape,4,"[64, 2894, 3181, 3420]"
103.842071,1.291711,T Shape,3,"[64, 4061, 5866]"
103.838379,1.290228,T Shape,3,"[66, 178, 5235]"
103.843357,1.289581,T Shape,3,"[67, 3217, 3218]"
103.841272,1.288609,X Shape,4,"[68, 103, 304, 674]"
103.841478,1.288984,T Shape,3,"[68, 219, 671]"
103.842196,1.290145,X Shape,4,"[69, 337, 2387, 2388]"
103.842396,1.290036,T Shape,3,"[69, 465, 4747]"
103.844716,1.288507,T Shape,3,"[70, 3215, 3216]"
103.848398,1.297693,T Shape,3,"[72, 1717, 3227]"
103.832287,1.304784,T Shape,3,"[73, 94, 1732]"
103.822712,1.304986,Crossing,4,"[74, 640, 1544, 2030]"
103.837947,1.29782,T Shape,3,"[75, 1799, 2723]"
103.835822,1.300067,T Shape,3,"[76, 1797, 3895]"
103.835545,1.300158,T Shape,3,"[76, 106, 2543]"
103.838102,1.299527,T Shape,3,"[77, 2702, 2793]"
103.837969,1.299556,T Shape,3,"[77, 1801, 2701]"
103.843325,1.291475,T Shape,3,"[78, 3414, 3415]"
103.848755,1.290952,T Shape,3,"[81, 1511, 2631]"
103.848971,1.291,X Shape,4,"[81, 1512, 2568, 2662]"
103.848186,1.290114,Crossing,4,"[82, 173, 489, 2393]"
103.848258,1.290204,Crossing,4,"[82, 298, 656, 1510]"
103.847718,1.290214,T Shape,3,"[83, 1932, 1933]"
103.849479,1.289413,Other,3,"[84, 1470, 5608]"
103.849267,1.292677,T Shape,3,"[85, 3809, 3918]"
103.84893,1.292856,Crossing,4,"[85, 3809, 3917, 6060]"
103.848712,1.298583,X Shape,4,"[86, 1320, 1393, 2512]"
103.849558,1.297921,X Shape,4,"[86, 300, 629, 2504]"
103.849538,1.299663,T Shape,3,"[87, 971, 3186]"
103.849773,1.294962,T Shape,3,"[88, 1202, 2561]"
103.848926,1.297288,X Shape,4,"[89, 124, 1716, 2507]"
103.848742,1.297441,T Shape,3,"[89, 492, 3136]"
103.847477,1.298316,T Shape,3,"[90, 1321, 4377]"
103.839059,1.300318,T Shape,3,"[91, 3868, 6374]"
103.83509,1.300872,T Shape,3,"[92, 355, 636]"
103.826206,1.303449,X Shape,4,"[93, 1723, 2482, 3582]"
103.848364,1.290087,Crossing,4,"[96, 489, 1199, 1412]"
103.847988,1.288958,T Shape,3,"[97, 2985, 4350]"
103.847942,1.288997,T Shape,3,"[97, 3460, 4923]"
103.848199,1.287872,T Shape,3,"[98, 2216, 4837]"
103.848426,1.28763,T Shape,3,"[98, 1499, 5514]"
103.848166,1.287167,T Shape,3,"[99, 1472, 1499]"
103.847868,1.287251,T Shape,3,"[99, 120, 4839]"
103.846,1.287482,X Shape,4,"[100, 659, 2020, 3214]"
103.846153,1.287376,X Shape,4,"[100, 664, 666, 1625]"
