feature,importance
light_conditions_daylight,0.024938469654782275
vehicle_movement_going_straight,0.021335473362293977
types_of_junction_y_shape,0.02111784587474622
types_of_junction_crossing,0.020349672644417022
age_band_of_driver_18_30,0.02029541555405688
educational_level_junior_high_school,0.020049872506750503
lanes_or_medians_two_way__divided_with_broken_lines_road_markin,0.019313590962686127
area_accident_occured_other,0.019230851473322156
type_of_collision_vehicle_with_vehicle_collision,0.0191815251240739
vehicle_driver_relation_employee,0.0191686868504467
age_band_of_driver_31_50,0.018732262015386712
types_of_junction_no_junction,0.018658056164805918
area_accident_occured_office_areas,0.018138394635135023
cause_of_accident_no_distancing,0.017785757328915627
lanes_or_medians_undivided_two_way,0.016795595765639458
day_of_week_monday,0.016655562591424266
age_band_of_driver_unknown,0.01657531587531568
type_of_vehicle_automobile,0.016540790312959713
day_of_week_friday,0.01652814945376363
age_band_of_casualty_18_30,0.016098001807530037
driving_experience_5_10yr,0.015878662965193406
casualty_severity_3,0.014984327834581472
road_alignment_tangent_road_with_flat_terrain,0.014612160737625352
road_surface_conditions_dry,0.014456987134822992
light_conditions_darkness___lights_lit,0.01439265431600566
driving_experience_above_10yr,0.014020039279862603
owner_of_vehicle_owner,0.013878370463114988
type_of_vehicle_lorry__41_100q_,0.01384355757195268
age_band_of_casualty_31_50,0.013758347980515919
age_band_of_casualty_na,0.01346185320298076
day_of_week_thursday,0.013289853158904609
day_of_week_wednesday,0.013236280753474251
road_surface_conditions_wet_or_damp,0.013182135315111103
educational_level_elementary_school,0.012992643236514105
age_band_of_driver_over_51,0.012461837657457031
driving_experience_2_5yr,0.012256039016868264
day_of_week_tuesday,0.012207488601327643
casualty_severity_na,0.012167432311219467
area_accident_occured_residential_areas,0.011627536494692258
day_of_week_saturday,0.011488908682606234
weather_conditions_normal,0.011484284959722946
day_of_week_sunday,0.011325950235882398
cause_of_accident_changing_lane_to_the_left,0.011319089753285818
cause_of_accident_changing_lane_to_the_right,0.011241110252476746
driving_experience_below_1yr,0.011062085401687042
vehicle_driver_relation_owner,0.010402109128657655
driving_experience_1_2yr,0.010258157382016854
type_of_collision_collision_with_roadside_objects,0.009711806793539142
cause_of_accident_driving_carelessly,0.009569754096466291
lanes_or_medians_other,0.009457644911517375
area_accident_occured_church_areas,0.00893984612534733
cause_of_accident_moving_backward,0.00848205251000317
cause_of_accident_no_priority_to_vehicle,0.008330040709419097
educational_level_high_school,0.008094144104987579
type_of_vehicle_other,0.007943615950373134
lanes_or_medians_double_carriageway__median_,0.007493822187666394
weather_conditions_raining,0.007460703104384321
types_of_junction_nan,0.007084163005456006
sex_of_driver_male,0.006781324579785627
type_of_vehicle_nan,0.006505680397360365
age_band_of_driver_under_18,0.006471502958689716
age_band_of_casualty_under_18,0.006410268014251891
