peak_hour,types_of_junction,area_accident_occured,lanes_or_medians,weather_conditions,day_of_week,age_band_of_driver,type_of_vehicle,incident_count
off_peak,crossing,living_street,one_way,no_rain,friday,unknown,other,1.0
off_peak,crossing,living_street,one_way,no_rain,monday,18-30,other,1.0
off_peak,crossing,living_street,one_way,no_rain,saturday,unknown,car,1.0
off_peak,crossing,living_street,one_way,no_rain,sunday,18-30,lorry,1.0
off_peak,crossing,living_street,one_way,no_rain,sunday,>51,car,1.0
off_peak,crossing,living_street,one_way,no_rain,thursday,18-30,car,1.0
off_peak,crossing,living_street,one_way,rain,wednesday,31-50,car,1.0
off_peak,crossing,living_street,other,no_rain,friday,31-50,lorry,1.1
off_peak,crossing,living_street,other,no_rain,monday,31-50,bus,1.1
off_peak,crossing,living_street,other,no_rain,saturday,unknown,other,1.0
off_peak,crossing,living_street,other,no_rain,sunday,18-30,bus,1.0
off_peak,crossing,living_street,other,no_rain,sunday,>51,lorry,1.0
off_peak,crossing,living_street,other,no_rain,wednesday,18-30,car,1.0
off_peak,crossing,living_street,other,no_rain,wednesday,18-30,lorry,1.0
off_peak,crossing,living_street,other,no_rain,wednesday,31-50,car,1.0
off_peak,crossing,living_street,two_way,no_rain,friday,18-30,bus,1.0
off_peak,crossing,living_street,two_way,no_rain,friday,18-30,lorry,2.1
off_peak,crossing,living_street,two_way,no_rain,friday,18-30,other,1.1
off_peak,crossing,living_street,two_way,no_rain,monday,18-30,bus,1.1
off_peak,crossing,living_street,two_way,no_rain,monday,18-30,car,1.0
off_peak,crossing,living_street,two_way,no_rain,monday,18-30,lorry,1.0
off_peak,crossing,living_street,two_way,no_rain,monday,31-50,lorry,1.0
off_peak,crossing,living_street,two_way,no_rain,monday,>51,lorry,1.0
off_peak,crossing,living_street,two_way,no_rain,saturday,18-30,other,2.0
off_peak,crossing,living_street,two_way,no_rain,saturday,31-50,car,2.0
off_peak,crossing,living_street,two_way,no_rain,saturday,unknown,car,1.0
off_peak,crossing,living_street,two_way,no_rain,saturday,unknown,lorry,1.0
off_peak,crossing,living_street,two_way,no_rain,saturday,unknown,other,1.0
off_peak,crossing,living_street,two_way,no_rain,sunday,18-30,car,1.0
off_peak,crossing,living_street,two_way,no_rain,sunday,>51,bus,1.1
off_peak,crossing,living_street,two_way,no_rain,sunday,>51,car,1.0
off_peak,crossing,living_street,two_way,no_rain,sunday,unknown,lorry,1.0
off_peak,crossing,living_street,two_way,no_rain,thursday,18-30,car,0.0
off_peak,crossing,living_street,two_way,no_rain,thursday,18-30,other,1.0
off_peak,crossing,living_street,two_way,no_rain,thursday,>51,other,1.0
off_peak,crossing,living_street,two_way,no_rain,tuesday,18-30,bus,1.0
off_peak,crossing,living_street,two_way,rain,friday,31-50,lorry,1.0
off_peak,crossing,living_street,two_way,rain,sunday,18-30,lorry,2.0
off_peak,crossing,living_street,two_way,rain,wednesday,18-30,car,1.0
off_peak,crossing,living_street,unknown,no_rain,thursday,18-30,bus,0.0
off_peak,crossing,residential,one_way,no_rain,friday,18-30,car,1.1
off_peak,crossing,residential,one_way,no_rain,friday,>51,car,1.1
off_peak,crossing,residential,one_way,no_rain,monday,18-30,car,2.0
off_peak,crossing,residential,one_way,no_rain,monday,31-50,car,1.1
off_peak,crossing,residential,one_way,no_rain,monday,31-50,lorry,1.0
off_peak,crossing,residential,one_way,no_rain,saturday,18-30,lorry,1.0
off_peak,crossing,residential,one_way,no_rain,sunday,18-30,lorry,1.0
off_peak,crossing,residential,one_way,no_rain,sunday,31-50,car,1.0
off_peak,crossing,residential,one_way,no_rain,sunday,>51,other,1.1
off_peak,crossing,residential,one_way,no_rain,sunday,unknown,other,1.0
off_peak,crossing,residential,one_way,no_rain,thursday,18-30,other,1.0
off_peak,crossing,residential,one_way,no_rain,tuesday,18-30,car,1.0
off_peak,crossing,residential,one_way,no_rain,tuesday,31-50,lorry,1.0
off_peak,crossing,residential,one_way,no_rain,tuesday,unknown,car,1.0
off_peak,crossing,residential,one_way,no_rain,wednesday,>51,other,1.0
off_peak,crossing,residential,other,no_rain,friday,18-30,lorry,1.0
off_peak,crossing,residential,other,no_rain,friday,18-30,other,3.3000000000000003
off_peak,crossing,residential,other,no_rain,friday,>51,other,1.0
off_peak,crossing,residential,other,no_rain,friday,unknown,car,1.0
off_peak,crossing,residential,other,no_rain,monday,18-30,other,1.0
off_peak,crossing,residential,other,no_rain,monday,31-50,car,1.0
off_peak,crossing,residential,other,no_rain,saturday,18-30,bus,1.0
off_peak,crossing,residential,other,no_rain,saturday,18-30,car,1.0
off_peak,crossing,residential,other,no_rain,saturday,unknown,car,1.0
off_peak,crossing,residential,other,no_rain,saturday,unknown,other,1.0
off_peak,crossing,residential,other,no_rain,sunday,31-50,other,1.0
off_peak,crossing,residential,other,no_rain,sunday,>51,lorry,1.0
off_peak,crossing,residential,other,no_rain,sunday,unknown,bus,1.0
off_peak,crossing,residential,other,no_rain,sunday,unknown,car,1.0
