longitude,latitude,junction_type,num_roads
103.830062,1.306018,t_shape,3
103.830112,1.305992,t_shape,3
103.887379,1.348937,x_shape,4
103.88785,1.348947,t_shape,3
103.843789,1.313704,t_shape,3
103.841245,1.313395,x_shape,4
103.839288,1.313432,crossing,4
103.840315,1.314252,t_shape,3
103.837346,1.314758,t_shape,3
103.83184,1.30504,x_shape,4
103.830847,1.30386,x_shape,4
103.834836,1.300409,x_shape,4
103.830495,1.303262,t_shape,3
103.841347,1.295474,x_shape,4
103.841188,1.295659,t_shape,3
103.842845,1.291633,t_shape,3
103.842213,1.291972,x_shape,4
103.842071,1.291711,t_shape,3
103.838379,1.290228,t_shape,3
103.843357,1.289581,t_shape,3
103.841272,1.288609,x_shape,4
103.841478,1.288984,t_shape,3
103.842196,1.290145,x_shape,4
103.842396,1.290036,t_shape,3
103.844716,1.288507,t_shape,3
103.853817,1.398024,t_shape,3
103.857954,1.39468,t_shape,3
103.802182,1.272772,x_shape,4
103.802289,1.272769,x_shape,4
103.637513,1.347664,t_shape,3
103.836654,1.272482,t_shape,3
103.854689,1.397835,t_shape,3
103.852481,1.396969,t_shape,3
103.757238,1.423388,x_shape,4
103.757422,1.42285,t_shape,3
103.857883,1.39353,t_shape,3
103.857205,1.395805,t_shape,3
103.768393,1.443159,t_shape,3
103.774025,1.396535,t_shape,3
103.702919,1.361181,t_shape,3
103.71268,1.367714,t_shape,3
103.710846,1.366902,t_shape,3
103.710982,1.360299,t_shape,3
103.823258,1.278882,t_shape,3
103.663534,1.323146,t_shape,3
103.663917,1.323776,t_shape,3
103.980887,1.339488,t_shape,3
103.978483,1.334678,t_shape,3
103.976776,1.338194,t_shape,3
103.848398,1.297693,t_shape,3
103.832287,1.304784,t_shape,3
103.822712,1.304986,crossing,4
103.82286,1.305041,crossing,4
103.815686,1.293079,x_shape,4
103.815762,1.29336,crossing,4
103.802083,1.273283,t_shape,3
103.854866,1.29145,x_shape,4
103.892106,1.31507,x_shape,4
103.837947,1.29782,t_shape,3
103.835822,1.300067,t_shape,3
103.835545,1.300158,t_shape,3
103.838102,1.299527,t_shape,3
103.837969,1.299556,t_shape,3
103.843325,1.291475,t_shape,3
103.917442,1.320679,t_shape,3
103.916029,1.320195,t_shape,3
103.837794,1.348392,x_shape,4
