Feature,Importance
area_accident_occured_unknown,0.05314856914984637
types_of_junction_y_shape,0.05243789408796782
age_band_of_driver_18-30,0.051495625684702236
type_of_vehicle_car,0.050786125300830626
type_of_vehicle_lorry,0.04755213461149624
age_band_of_driver_31-50,0.0438817087211944
day_of_week_friday,0.043799246098017004
types_of_junction_no_junction,0.0420033080233621
types_of_junction_crossing,0.041774053473352814
lanes_or_medians_two_way,0.041599566351997
day_of_week_thursday,0.04083307733025654
day_of_week_tuesday,0.03832091129441407
day_of_week_saturday,0.03768481008104719
age_band_of_driver_unknown,0.035445213219447616
area_accident_occured_service,0.03450287229867828
day_of_week_monday,0.03309269719087925
type_of_vehicle_bus,0.03288185888000128
day_of_week_wednesday,0.031651740182995144
area_accident_occured_residential,0.0315430618736771
day_of_week_sunday,0.030739426998642246
age_band_of_driver_>51,0.025782250134473203
type_of_vehicle_other,0.02538809167596352
lanes_or_medians_other,0.02517544648039121
lanes_or_medians_one_way,0.02422610663064893
weather_conditions_no_rain,0.02142532942345885
weather_conditions_rain,0.019464932097467125
area_accident_occured_living_street,0.017832934856290377
types_of_junction_other,0.008763070617115011
type_of_vehicle_motorcycle,0.008159995204690235
types_of_junction_o_shape,0.0036634309993245286
types_of_junction_unknown,0.0030924059327832724
lanes_or_medians_unknown,0.0010074362314036354
types_of_junction_t_shape,0.0007228048971317167
types_of_junction_x_shape,0.00012186396605308428
